Year,Region,Value
2010,Asturias,-40.16
2011,Asturias,-35.08
2012,Asturias,-30.81
2013,Asturias,-34.21
2014,Asturias,-33
2015,Asturias,-17.91
2016,Asturias,-34.53
2017,Asturias,-29.57
2018,Asturias,-35.3
2019,Asturias,-48.83
2020,Asturias,-57.25
2021,Asturias,-45.38
2022,Asturias,-45.37
2010,España,-21.21
2011,España,-21.12
2012,España,-22.29
2013,España,-29
2014,España,-29.11
2015,España,-26.78
2016,España,-29.88
2017,España,-26.67
2018,España,-28.37
2019,España,-32.97
2020,España,-42.77
2021,España,-38.48
2022,España,-37
