Year,Region,Value
2010,Asturias,0.131920385214746
2011,Asturias,0.14650744286012
2012,Asturias,0.150191969465426
2013,Asturias,0.155866904983138
2014,Asturias,0.1528560719122
2015,Asturias,0.157412355393483
2016,Asturias,0.164628753805789
2017,Asturias,0.170184275216375
2018,Asturias,0.201075974223633
2019,Asturias,0.207086366738114
2020,Asturias,0.189205134334098
2021,Asturias,0.189077505971001
2010,España,0.16
2011,España,0.17
2012,España,0.18
2013,España,0.19
2014,España,0.19
2015,España,0.19
2016,España,0.2
2017,España,0.2
2018,España,0.24
2019,España,0.24
2020,España,0.22
2021,España,0.23
