Year,Region,Value
2010,Asturias,1.51352808780132
2011,Asturias,1.51538164637606
2012,Asturias,1.5265474960602
2013,Asturias,1.51586869374432
2014,Asturias,1.52009714510324
2015,Asturias,1.53300362512773
2016,Asturias,1.54251336141779
2017,Asturias,1.54953431431691
2018,Asturias,1.56070502694275
2019,Asturias,1.56400906247069
2020,Asturias,1.56369328367845
2021,Asturias,1.57726629261638
2010,España,1.43
2011,España,1.43
2012,España,1.46
2013,España,1.46
2014,España,1.47
2015,España,1.48
2016,España,1.48
2017,España,1.49
2018,España,1.49
2019,España,1.5
2020,España,1.5
2021,España,1.51
