Year,Region,Value
2010,Asturias,  -14.670
2011,Asturias,   25.160
2012,Asturias,  286.819
2013,Asturias,   -1.664
2014,Asturias,    8.853
2015,Asturias,    3.707
2016,Asturias,   -3.356
2017,Asturias,    3.520
2018,Asturias,    0.004
2019,Asturias,    0.000
2020,Asturias,   25.277
2010,España, 8237.240
2011,España,12434.300
2012,España, 1848.790
2013,España, 9273.790
2014,España, 8355.230
2015,España, 6550.320
2016,España, 9089.620
2017,España, 9235.610
2018,España, 9683.020
2019,España, 3884.990
2020,España, 7412.130
