Year,Region,Value
2010,Asturias,-0.064530
2011,Asturias, 0.112444
2012,Asturias, 1.342480
2013,Asturias,-0.008020
2014,Asturias, 0.042867
2015,Asturias, 0.017344
2016,Asturias,-0.015468
2017,Asturias, 0.015580
2018,Asturias, 0.000016
2019,Asturias, 0.000000
2010,España, 0.770000
2011,España, 1.170000
2012,España, 0.180000
2013,España, 0.910000
2014,España, 0.810000
2015,España, 0.610000
2016,España, 0.820000
2017,España, 0.790000
2018,España, 0.800000
2019,España, 0.310000
2020,España, 0.660000
