Year,Region,Value
2010,Asturias,89.35
2011,Asturias,92.78
2012,Asturias,95.69
2013,Asturias,96.76
2014,Asturias,96.84
2015,Asturias,96.45
2016,Asturias,96.86
2017,Asturias,96.55
2018,Asturias,97.54
2019,Asturias,99.28
2020,Asturias,99.81
2021,Asturias,100
2022,Asturias,113.63
2023,Asturias,124.85
2010,España,91.92
2011,España,93.75
2012,España,95.69
2013,España,96.91
2014,España,96.44
2015,España,96.58
2016,España,96.83
2017,España,96.44
2018,España,97.17
2019,España,98.31
2020,España,99.27
2021,España,100
2022,España,114.86
2023,España,127.41
