Year,Region,Sex,Value
2014,Asturias,,21.92
2015,Asturias,,17.72
2016,Asturias,,35.97
2017,Asturias,,29.61
2018,Asturias,,16.79
2019,Asturias,,16.76
2020,Asturias,,19.01
2021,Asturias,,24.32
2022,Asturias,,14.93
2023,Asturias,,15.3
2014,Asturias,Hombre,33.3
2015,Asturias,Hombre,29.03
2016,Asturias,Hombre,61.09
2017,Asturias,Hombre,46.71
2018,Asturias,Hombre,27.98
2019,Asturias,Hombre,28.91
2020,Asturias,Hombre,27.82
2021,Asturias,Hombre,26
2022,Asturias,Hombre,22.74
2023,Asturias,Hombre,19.59
2014,Asturias,Mujer,10.01
2015,Asturias,Mujer,7.35
2016,Asturias,Mujer,12.94
2017,Asturias,Mujer,13.95
2018,Asturias,Mujer,6.55
2019,Asturias,Mujer,5.64
2020,Asturias,Mujer,10.94
2021,Asturias,Mujer,22.79
2022,Asturias,Mujer,7.81
2023,Asturias,Mujer,11.2
2015,España,,59.22
2016,España,,57.41
2017,España,,55.37
2018,España,,55.22
2019,España,,57.78
2020,España,,42.28
2021,España,,53.1
2022,España,,56.6
2015,España,Hombre,93.41
2016,España,Hombre,89.85
2017,España,Hombre,87.01
2018,España,Hombre,86.48
2019,España,Hombre,89.26
2020,España,Hombre,63.96
2021,España,Hombre,80.06
2022,España,Hombre,85.21
2015,España,Mujer,25.98
2016,España,Mujer,25.98
2017,España,Mujer,24.68
2018,España,Mujer,24.98
2019,España,Mujer,27.4
2020,España,Mujer,21.35
2021,España,Mujer,27.08
2022,España,Mujer,29.08
