Year,Region,Value
2010,Asturias,37.45
2011,Asturias,36.73
2012,Asturias,36.73
2013,Asturias,37.99
2014,Asturias,37.83
2015,Asturias,41.61
2016,Asturias,41.61
2017,Asturias,41.61
2018,Asturias,41.61
2019,Asturias,45.35
2020,Asturias,45.35
2021,Asturias,45.89
2022,Asturias,45.2
2023,Asturias,44.55
2024,Asturias,43.06
2010,España,30.5
2011,España,34.95
2012,España,34.95
2013,España,35.17
2014,España,35.24
2015,España,35.57
2016,España,35.57
2017,España,35.57
2018,España,35.57
2019,España,40.82
2020,España,40.82
2021,España,40.85
2022,España,40.87
2023,España,42.82
