Year,Region,Sex,Value
2010,Asturias,,90.9
2011,Asturias,,91.8
2012,Asturias,,93.4
2013,Asturias,,93.0
2014,Asturias,,93.8
2015,Asturias,,94.4
2017,Asturias,,96.4
2019,Asturias,,96.6
2020,Asturias,,99.1
2010,Asturias,Hombre,90.5
2011,Asturias,Hombre,92.3
2012,Asturias,Hombre,93.2
2013,Asturias,Hombre,92.6
2014,Asturias,Hombre,90.8
2015,Asturias,Hombre,92.0
2017,Asturias,Hombre,96.0
2019,Asturias,Hombre,95.5
2020,Asturias,Hombre,99.3
2010,Asturias,Mujer,91.4
2011,Asturias,Mujer,91.3
2012,Asturias,Mujer,93.6
2013,Asturias,Mujer,93.3
2014,Asturias,Mujer,96.7
2015,Asturias,Mujer,96.8
2017,Asturias,Mujer,96.8
2019,Asturias,Mujer,97.6
2020,Asturias,Mujer,98.9
2012,España,,94.4
2013,España,,94.2
2014,España,,95.0
2015,España,,95.5
2017,España,,96.2
2019,España,,96.9
2020,España,,98.9
2021,España,,99.2
2012,España,Hombre,94.7
2013,España,Hombre,94.0
2014,España,Hombre,94.7
2015,España,Hombre,95.4
2017,España,Hombre,96.2
2019,España,Hombre,96.7
2020,España,Hombre,98.9
2021,España,Hombre,99.1
2012,España,Mujer,94.1
2013,España,Mujer,94.3
2014,España,Mujer,95.3
2015,España,Mujer,95.5
2017,España,Mujer,96.1
2019,España,Mujer,97.1
2020,España,Mujer,98.9
2021,España,Mujer,99.2
