Year,Region,Sex,Disability_status,Value
2010,Asturias,,,14.11
2011,Asturias,,,14.20
2012,Asturias,,,14.22
2013,Asturias,,,14.43
2014,Asturias,,,14.35
2015,Asturias,,,14.94
2016,Asturias,,,14.97
2017,Asturias,,,15.23
2018,Asturias,,,15.64
2019,Asturias,,,16.29
2010,Asturias,Hombre,,15.46
2011,Asturias,Hombre,,15.73
2012,Asturias,Hombre,,15.81
2013,Asturias,Hombre,,16.15
2014,Asturias,Hombre,,15.88
2015,Asturias,Hombre,,16.52
2016,Asturias,Hombre,,16.69
2017,Asturias,Hombre,,17.12
2018,Asturias,Hombre,,17.32
2019,Asturias,Hombre,,17.62
2010,Asturias,Mujer,,12.41
2011,Asturias,Mujer,,12.31
2012,Asturias,Mujer,,12.28
2013,Asturias,Mujer,,12.56
2014,Asturias,Mujer,,12.52
2015,Asturias,Mujer,,13.08
2016,Asturias,Mujer,,13.02
2017,Asturias,Mujer,,13.16
2018,Asturias,Mujer,,13.69
2019,Asturias,Mujer,,14.82
2010,Asturias,,Persona con discapacidad,14.40
2011,Asturias,,Persona con discapacidad,13.10
2012,Asturias,,Persona con discapacidad,11.90
2013,Asturias,,Persona con discapacidad,13.10
2014,Asturias,,Persona con discapacidad,13.30
2015,Asturias,,Persona con discapacidad,13.50
2016,Asturias,,Persona con discapacidad,12.70
2017,Asturias,,Persona con discapacidad,13.10
2018,Asturias,,Persona con discapacidad,14.00
2010,Asturias,,Persona sin discapacidad,14.10
2011,Asturias,,Persona sin discapacidad,14.20
2012,Asturias,,Persona sin discapacidad,14.30
2013,Asturias,,Persona sin discapacidad,14.50
2014,Asturias,,Persona sin discapacidad,14.40
2015,Asturias,,Persona sin discapacidad,15.00
2016,Asturias,,Persona sin discapacidad,15.10
2017,Asturias,,Persona sin discapacidad,15.30
2018,Asturias,,Persona sin discapacidad,15.70
2010,España,,,14.52
2011,España,,,14.53
2012,España,,,14.57
2013,España,,,14.64
2014,España,,,14.80
2015,España,,,15.01
2016,España,,,14.88
2017,España,,,15.13
2018,España,,,15.54
2019,España,,,15.85
2010,España,Hombre,,15.56
2011,España,Hombre,,15.68
2012,España,Hombre,,15.83
2013,España,Hombre,,15.87
2014,España,Hombre,,15.84
2015,España,Hombre,,16.04
2016,España,Hombre,,15.94
2017,España,Hombre,,16.10
2018,España,Hombre,,16.52
2019,España,Hombre,,16.63
2010,España,Mujer,,13.24
2011,España,Mujer,,13.12
2012,España,Mujer,,13.10
2013,España,Mujer,,13.21
2014,España,Mujer,,13.56
2015,España,Mujer,,13.80
2016,España,Mujer,,13.60
2017,España,Mujer,,13.93
2018,España,Mujer,,14.36
2019,España,Mujer,,14.92
2010,España,,Persona con discapacidad,13.10
2011,España,,Persona con discapacidad,13.20
2012,España,,Persona con discapacidad,12.80
2013,España,,Persona con discapacidad,12.60
2014,España,,Persona con discapacidad,12.30
2015,España,,Persona con discapacidad,13.00
2016,España,,Persona con discapacidad,12.70
2017,España,,Persona con discapacidad,12.90
2018,España,,Persona con discapacidad,13.10
2019,España,,Persona con discapacidad,13.70
2010,España,,Persona sin discapacidad,14.60
2011,España,,Persona sin discapacidad,14.60
2012,España,,Persona sin discapacidad,14.60
2013,España,,Persona sin discapacidad,14.70
2014,España,,Persona sin discapacidad,14.90
2015,España,,Persona sin discapacidad,15.10
2016,España,,Persona sin discapacidad,14.90
2017,España,,Persona sin discapacidad,15.20
2018,España,,Persona sin discapacidad,15.60
2019,España,,Persona sin discapacidad,15.90
