Year,Region,Sex,Value
2010,Asturias,,5.9
2011,Asturias,,7.26
2012,Asturias,,9.6
2013,Asturias,,13
2014,Asturias,,11.83
2015,Asturias,,10.49
2016,Asturias,,9.97
2017,Asturias,,6.9
2018,Asturias,,6.11
2019,Asturias,,7
2020,Asturias,,5.21
2021,Asturias,,5.7
2022,Asturias,,5.22
2023,Asturias,,5.66
2010,Asturias,Hombre,5.94
2011,Asturias,Hombre,7.75
2012,Asturias,Hombre,10.23
2013,Asturias,Hombre,13.17
2014,Asturias,Hombre,11.49
2015,Asturias,Hombre,11.4
2016,Asturias,Hombre,10.9
2017,Asturias,Hombre,6.46
2018,Asturias,Hombre,5.15
2019,Asturias,Hombre,6.35
2020,Asturias,Hombre,4.89
2021,Asturias,Hombre,5.52
2022,Asturias,Hombre,4.95
2023,Asturias,Hombre,5.48
2010,Asturias,Mujer,5.84
2011,Asturias,Mujer,6.7
2012,Asturias,Mujer,8.87
2013,Asturias,Mujer,12.8
2014,Asturias,Mujer,12.2
2015,Asturias,Mujer,9.51
2016,Asturias,Mujer,8.97
2017,Asturias,Mujer,7.38
2018,Asturias,Mujer,7.14
2019,Asturias,Mujer,7.7
2020,Asturias,Mujer,5.55
2021,Asturias,Mujer,5.9
2022,Asturias,Mujer,5.52
2023,Asturias,Mujer,5.85
