Year,Region,Value
2010,Asturias,-7.91
2011,Asturias,-7.8
2012,Asturias,-8.89
2013,Asturias,-10.97
2014,Asturias,-8.19
2015,Asturias,-9.19
2016,Asturias,-8.11
2017,Asturias,-7.88
2018,Asturias,-7.31
2019,Asturias,-6.15
2020,Asturias,-5.71
2021,Asturias,-8.38
2022,Asturias,-7.75
2023,Asturias,-4.97
2024,Asturias,-6.56
2025,Asturias,-7.28
2015,España,-7.6
2016,España,-6.68
2017,España,-6.84
2018,España,-6.71
2019,España,-6.22
2020,España,-5.75
2021,España,-6.33
2022,España,-5.73
2023,España,-5.17
2024,España,-5.05
2025,España,-4.88
