Year,Region,Sex,Value
2010,Asturias,,49.38
2011,Asturias,,46.11
2012,Asturias,,43.71
2013,Asturias,,42.82
2014,Asturias,,43.72
2015,Asturias,,48.54
2016,Asturias,,53.16
2017,Asturias,,50.37
2018,Asturias,,45.04
2019,Asturias,,43.33
2020,Asturias,,42.76
2021,Asturias,,42.85
2022,Asturias,,44.41
2023,Asturias,,46.21
2024,Asturias,,48.25
2025,Asturias,,49.4
2010,Asturias,Hombre,23.44
2011,Asturias,Hombre,22.66
2012,Asturias,Hombre,21.38
2013,Asturias,Hombre,21.57
2014,Asturias,Hombre,23.9
2015,Asturias,Hombre,25.48
2016,Asturias,Hombre,26.94
2017,Asturias,Hombre,24.99
2018,Asturias,Hombre,21.88
2019,Asturias,Hombre,21.56
2020,Asturias,Hombre,21.36
2021,Asturias,Hombre,20.83
2022,Asturias,Hombre,23.05
2023,Asturias,Hombre,22.19
2024,Asturias,Hombre,23.65
2025,Asturias,Hombre,26.12
2010,Asturias,Mujer,25.94
2011,Asturias,Mujer,23.44
2012,Asturias,Mujer,22.33
2013,Asturias,Mujer,21.24
2014,Asturias,Mujer,19.82
2015,Asturias,Mujer,23.06
2016,Asturias,Mujer,26.22
2017,Asturias,Mujer,25.38
2018,Asturias,Mujer,23.16
2019,Asturias,Mujer,21.77
2020,Asturias,Mujer,21.4
2021,Asturias,Mujer,22.02
2022,Asturias,Mujer,21.37
2023,Asturias,Mujer,24.02
2024,Asturias,Mujer,24.6
2025,Asturias,Mujer,23.28
