Year,Region,Value
2010,Asturias,0.48
2011,Asturias,0.47
2012,Asturias,0.49
2013,Asturias,0.49
2014,Asturias,0.56
2015,Asturias,0.58
2016,Asturias,0.57
2017,Asturias,0.52
2018,Asturias,0.53
2019,Asturias,0.5
2020,Asturias,0.47
2021,Asturias,0.46
2022,Asturias,0.45
2023,Asturias,0.41
2010,España,0.13
2011,España,0.13
2012,España,0.13
2013,España,0.1
2014,España,0.09
2015,España,0.11
2016,España,0.11
2017,España,0.11
2018,España,0.11
2019,España,0.12
2020,España,0.13
2021,España,0.11
2022,España,0.1
