Indicator,Disaggregation combinations using this value
#1-2-1-a,1
#1-2-1-b,1
#1-2-1-c,1
#1-2-1-d,1
#1-2-2-a,1
#1-2-2-b,1
#1-2-2-c,1
#1-2-2-d,1
#1-4-1-a,1
#1-4-1-b,1
#1-4-1-c,1
#1-5-1-a,1
#1-a-2-a,1
#1-a-2-b,1
#10-1-1-a,1
#10-1-1-b,1
#10-1-1-c,1
#10-1-1-d,1
#10-2-1-a,1
#10-2-1-b,1
#10-4-1-a,1
#11-1-1-a,1
#11-1-1-b,1
#11-5-1-a,1
#11-6-1-a,1
#11-6-1-b,1
#11-6-1-c,1
#11-6-1-d,1
#13-1-1-a,1
#13-2-2-a,1
#13-2-2-b,1
#13-2-2-c,1
#13-2-2-d,1
#15-1-1-a,1
#15-2-1-a,1
#15-2-1-b,1
#16-1-4-a,1
#16-3-2-a,1
#16-7-1-a,1
#16-7-1-b,1
#16-7-1-c,1
#16-7-1-d,1
#16-7-1-e,1
#16-7-1-f,1
#16-7-1-h,1
#16-7-1-i,1
#16-7-1-j,1
#16-7-1-k,1
#16-7-1-l,1
#16-7-1-n,1
#17-1-1-a,1
#17-1-2-a,1
#17-1-2-b,1
#17-19-2a-a,1
#17-3-1-a,1
#17-3-1-b,1
#17-3-1-c,1
#17-3-1-d,1
#17-3-2-a,1
#17-3-2-b,1
#17-8-1-a,1
#2-2-2-a,1
#2-4-1-a,1
#3-1-1-a,1
#3-1-2-a,1
#3-2-1-a,1
#3-2-2-a,1
#3-4-1-a,1
#3-4-1-b,1
#3-4-1-c,1
#3-4-1-d,1
#3-4-2-a,1
#3-5-1-a,3
#3-5-1-d,3
#3-6-1-a,1
#3-7-1-a,1
#3-7-2-a,1
#3-7-2-b,1
#3-8-1-a,1
#3-8-2-a,1
#3-9-3-a,1
#3-a-1-a,1
#3-b-1-a,1
#3-b-1-b,1
#3-b-1-c,1
#3-b-1-d,1
#3-c-1-a,1
#3-c-1-b,1
#3-c-1-c,1
#3-c-1-d,1
#4-2-2-a,3
#4-3-1-a,1
#4-3-1-b,1
#4-3-1-c,1
#4-3-1-d,1
#4-4-1-a,1
#4-4-1-b,1
#4-4-1-c,1
#4-5-1-a,1
#4-5-1-b,1
#4-5-1-c,1
#4-5-1-d,1
#4-5-1-e,1
#4-6-1-a,3
#4-6-1-d,3
#4-a-1-a,1
#4-a-1-b,1
#4-a-1-c,1
#4-a-1-d,1
#4-a-1-e,1
#4-a-1-f,1
#4-c-1-a,1
#4-c-1-b,1
#4-c-1-c,1
#4-c-1-d,1
#5-3-1-a,1
#5-4-1-a,3
#5-5-2-a,1
#5-5-2-b,1
#5-5-2-c,1
#5-a-1a-a,3
#5-a-1b-a,1
#5-a-1b-b,1
#5-a-1b-c,1
#5-b-1-a,3
#6-1-1-a,1
#6-b-1-a,1
#6-b-1-b,1
#7-2-1-a,1
#7-3-1-a,1
#8-1-1-a,1
#8-10-2-a,1
#8-2-1-a,1
#8-2-1-b,1
#8-5-1-a,5
#8-5-2-a,3
#8-5-2-d,3
#8-6-1-a,1
#8-9-1-3-a,1
#8-9-1-3-b,1
#8-9-1-4-a,1
#8-9-1-4-b,1
#8-b-1-a,1
#8-b-1-b,1
#9-2-1-a,1
#9-2-1-b,1
#9-2-2-a,1
#9-2-2-b,1
#9-2-2-c,1
#9-3-1-a,1
#9-4-1-a,1
#9-4-1-b,1
#9-4-1-c,1
#9-4-1-d,1
#9-5-1-a,1
#9-5-2-a,1
