Year,Region,Value
2010,Asturias,-21.63
2011,Asturias,-14.96
2012,Asturias,-9.45
2013,Asturias,-13.75
2014,Asturias,-12.19
2015,Asturias,7.58
2016,Asturias,-14.12
2017,Asturias,-7.36
2018,Asturias,-15.09
2019,Asturias,-32.64
2020,Asturias,-43.71
2021,Asturias,-28.49
2022,Asturias,-27.93
2023,Asturias,-43.65
2010,España,21.8
2011,España,21.94
2012,España,20.13
2013,España,9.76
2014,España,9.59
2015,España,13.2
2016,España,8.4
2017,España,13.36
2018,España,10.73
2019,España,3.63
2020,España,-11.52
2021,España,-4.89
2022,España,-2.61
