Year,Region,Value
2010,Asturias,23.4529476315351
2011,Asturias,21.1970172909334
2012,Asturias,22.6059679476276
2013,Asturias,22.1752189016411
2014,Asturias,23.2314616668101
2015,Asturias,22.2746455156786
2016,Asturias,22.5551760438229
2017,Asturias,21.7273796114099
2018,Asturias,22.7540832222887
2019,Asturias,20.9524747350417
2010,España,21.35
2011,España,19.67
2012,España,22.88
2013,España,21.66
2014,España,22.56
2015,España,21.58
2016,España,20.86
2017,España,20.85
2018,España,20.96
2019,España,20.76
