Year,Region,Value
2010,Asturias,-3.57
2011,Asturias,-6.58
2012,Asturias,-1.03
2013,Asturias,-1.04
2014,Asturias,-1.12
2015,Asturias,-1.53
2016,Asturias,-0.47
2017,Asturias,0.34
2018,Asturias,0.06
2019,Asturias,-0.76
2020,Asturias,1.12
2021,Asturias,1.05
2022,Asturias,-0.55
2023,Asturias,0.3
2024,Asturias,0.86
2010,España,-3.75
2011,España,-5.13
2012,España,-1.99
2013,España,-1.6
2014,España,-1.8
2015,España,-1.73
2016,España,-0.84
2017,España,-0.35
2018,España,-0.26
2019,España,-0.59
2020,España,-0.19
2021,España,-0.03
2022,España,-1.11
2023,España,-0.92
