Year,Region,Value
2010,Asturias,0.02
2011,Asturias,0.03
2012,Asturias,0.02
2013,Asturias,0.0
2014,Asturias,0.0
2015,Asturias,0.01
2016,Asturias,0.01
2017,Asturias,0.0
2018,Asturias,0.02
2019,Asturias,0.05
2020,Asturias,0.02
2021,Asturias,0.02
2022,Asturias,0.01
2023,Asturias,0.0
2010,España,0.74
2011,España,1.21
2012,España,0.19
2013,España,0.91
2014,España,0.77
2015,España,0.62
2016,España,0.82
2017,España,0.82
2018,España,0.73
2019,España,0.35
2020,España,0.34
2021,España,-0.04
2022,España,-0.34
2023,España,0.46
