Year,Region,Sex,Value
2014,Asturias,,21.9152609908354
2015,Asturias,,17.7195766841021
2016,Asturias,,35.9687602156583
2017,Asturias,,29.6130017583327
2018,Asturias,,16.7937261763419
2019,Asturias,,16.7640649034008
2020,Asturias,,19.0062769953144
2014,Asturias,Hombre,33.2960074519636
2015,Asturias,Hombre,29.0297264398744
2016,Asturias,Hombre,61.0903108347598
2017,Asturias,Hombre,46.7077153022598
2018,Asturias,Hombre,27.9815689286123
2019,Asturias,Hombre,28.9139430825954
2020,Asturias,Hombre,27.8179019532288
2014,Asturias,Mujer,10.0091902565082
2015,Asturias,Mujer,7.34544720000735
2016,Asturias,Mujer,12.9384039554549
2017,Asturias,Mujer,13.9527355733365
2018,Asturias,Mujer,6.5471469404247
2019,Asturias,Mujer,5.63501976952769
2020,Asturias,Mujer,10.9401967349171
2015,España,,59.19
2016,España,,57.38
2017,España,,55.34
2018,España,,55.2
2019,España,,57.76
2015,España,Hombre,93.39
2016,España,Hombre,89.85
2017,España,Hombre,87.02
2018,España,Hombre,86.51
2019,España,Hombre,89.3
2015,España,Mujer,25.96
2016,España,Mujer,25.96
2017,España,Mujer,24.66
2018,España,Mujer,24.95
2019,España,Mujer,27.37
