Year,Region,Value
2010,Asturias,53.86
2011,Asturias,48.16
2012,Asturias,52.55
2013,Asturias,55.15
2014,Asturias,57.51
2015,Asturias,58.85
2016,Asturias,60.72
2017,Asturias,61.95
2018,Asturias,63.66
2019,Asturias,65.41
2020,Asturias,67.6
2021,Asturias,70.03
2022,Asturias,71.44
2010,España,47.89
2011,España,48.36
2012,España,49.01
2013,España,50.07
2014,España,51.32
2015,España,52.31
2016,España,53.33
2017,España,54.41
2018,España,55.54
2019,España,56.64
2020,España,58.27
2021,España,59.77
2022,España,60.81
