Year,Region,Sex,Age,Value
2014,Asturias,,De 18 a 24 años,13.56
2015,Asturias,,De 18 a 24 años,16.82
2016,Asturias,,De 18 a 24 años,16.58
2017,Asturias,,De 18 a 24 años,14.75
2018,Asturias,,De 18 a 24 años,12.54
2019,Asturias,,De 18 a 24 años,12.42
2020,Asturias,,De 18 a 24 años,8.94
2021,Asturias,,De 18 a 24 años,12.24
2022,Asturias,,De 18 a 24 años,11.87
2023,Asturias,,De 18 a 24 años,10.46
2024,Asturias,,De 18 a 24 años,10.48
2025,Asturias,,De 18 a 24 años,10.63
2014,Asturias,Hombre,,15.92
2015,Asturias,Hombre,,15.96
2016,Asturias,Hombre,,15.98
2017,Asturias,Hombre,,18.93
2018,Asturias,Hombre,,13.46
2019,Asturias,Hombre,,14.75
2020,Asturias,Hombre,,10.95
2021,Asturias,Hombre,,14.67
2022,Asturias,Hombre,,12.6
2023,Asturias,Hombre,,12.54
2024,Asturias,Hombre,,12.45
2025,Asturias,Hombre,,13.39
2014,Asturias,Mujer,,11.15
2015,Asturias,Mujer,,17.66
2016,Asturias,Mujer,,17.18
2017,Asturias,Mujer,,10.82
2018,Asturias,Mujer,,11.59
2019,Asturias,Mujer,,9.96
2020,Asturias,Mujer,,6.78
2021,Asturias,Mujer,,9.56
2022,Asturias,Mujer,,11.08
2023,Asturias,Mujer,,8.18
2024,Asturias,Mujer,,8.38
2025,Asturias,Mujer,,7.5
