Year,Región,Value
2012,Asturias,17.44
2013,Asturias,20.43
2014,Asturias,20.11
2015,Asturias,20.11
2016,Asturias,21.02
2017,Asturias,21.07
2018,Asturias,20.71
2019,Asturias,20.6
2020,Asturias,20.55
2021,Asturias,19.43
2022,Asturias,19.16
2023,Asturias,19.67
2024,Asturias,19.46
2012,España,20.4
2013,España,23.25
2014,España,23.33
2015,España,23.51
2016,España,24.43
2017,España,24.28
2018,España,23.83
2019,España,23.63
2020,España,23.03
2021,España,22.5
2022,España,22.18
2023,España,22.52
2024,España,22.3
