Year,Región,Value
2011,Asturias,56.36
2012,Asturias,41.18
2013,Asturias,20.0
2014,Asturias,18.18
2015,Asturias,33.93
2016,Asturias,30.51
2017,Asturias,35.85
2018,Asturias,30.19
2019,Asturias,29.63
2020,Asturias,30.91
2021,Asturias,45.35
2022,Asturias,30.85
2023,Asturias,31.17
2024,Asturias,34.94
2011,España,32.64
2012,España,24.76
2013,España,15.89
2014,España,15.7
2015,España,19.49
2016,España,18.77
2017,España,24.65
2018,España,22.31
2019,España,28.9
2020,España,30.79
2021,España,31.98
2022,España,33.8
2023,España,34.24
