Year,Región,Value
2010,Asturias,1.37688011740622
2011,Asturias,1.38798580045316
2012,Asturias,1.40833129025957
2013,Asturias,1.41497232393926
2014,Asturias,1.45249276383353
2015,Asturias,1.44497363799918
2016,Asturias,1.44241852597707
2017,Asturias,1.45867058675181
2018,Asturias,1.45552393030871
2019,Asturias,1.46672300670234
2020,Asturias,1.44857152055659
2021,Asturias,1.46102162629299
2010,España,1.37
2011,España,1.38
2012,España,1.39
2013,España,1.4
2014,España,1.4
2015,España,1.41
2016,España,1.41
2017,España,1.41
2018,España,1.42
2019,España,1.42
2020,España,1.42
2021,España,1.43
