Year,Región,Value
2010,Asturias,0.910424138256473
2011,Asturias,0.893424735018564
2012,Asturias,0.887373651792499
2013,Asturias,0.880873719647114
2014,Asturias,0.849262304857467
2015,Asturias,0.880784604685322
2016,Asturias,0.907225353286228
2017,Asturias,0.92978879194909
2018,Asturias,0.947663146695431
2019,Asturias,0.952671889472419
2020,Asturias,0.98872379039858
2021,Asturias,0.992708995745416
2010,España,0.95
2011,España,0.95
2012,España,0.95
2013,España,0.93
2014,España,0.93
2015,España,0.92
2016,España,0.95
2017,España,0.97
2018,España,0.98
2019,España,0.99
2020,España,1.01
2021,España,1.02
