Year,Región,Value
2010,Asturias,-3.53
2011,Asturias,-6.51
2012,Asturias,-1.02
2013,Asturias,-1.03
2014,Asturias,-1.12
2015,Asturias,-1.52
2016,Asturias,-0.46
2017,Asturias,-0.34
2018,Asturias,0.06
2019,Asturias,-0.75
2020,Asturias,1.11
2021,Asturias,1.04
2022,Asturias,-0.55
2023,Asturias,0.3
2010,España,-3.77
2011,España,-5.16
2012,España,-2.0
2013,España,-1.6
2014,España,-1.81
2015,España,-1.75
2016,España,-0.85
2017,España,-0.36
2018,España,-0.27
2019,España,-0.59
2020,España,-0.18
2021,España,-0.02
2022,España,-1.12
2023,España,-0.91
