Year,Región,Value
2010,Asturias,62.2787136074906
2011,Asturias,66.1690062444933
2012,Asturias,60.3675400189464
2013,Asturias,69.5999255429827
2014,Asturias,74.0348025248433
2015,Asturias,78.2964850955091
2017,Asturias,82.2855513826161
2019,Asturias,89.1970805292712
2020,Asturias,91.1470647334916
2010,España,63.53
2011,España,66.47
2012,España,69.48
2013,España,71.64
2014,España,76.19
2015,España,78.69
2016,España,80.56
2017,España,84.6
2018,España,86.11
2019,España,90.72
2020,España,93.21
2021,España,93.9
