Year,Región,Sexo,Value
2012,Asturias,,18.03
2013,Asturias,,15.62
2014,Asturias,,15.65
2015,Asturias,,11.88
2016,Asturias,,12.63
2017,Asturias,,10.78
2018,Asturias,,10.25
2019,Asturias,,10.49
2012,Asturias,Hombre,25.7
2013,Asturias,Hombre,19.24
2014,Asturias,Hombre,19.42
2015,Asturias,Hombre,14.61
2016,Asturias,Hombre,15.12
2017,Asturias,Hombre,15.84
2018,Asturias,Hombre,11.23
2019,Asturias,Hombre,13.33
2012,Asturias,Mujer,10.95
2013,Asturias,Mujer,12.28
2014,Asturias,Mujer,12.19
2015,Asturias,Mujer,9.37
2016,Asturias,Mujer,10.35
2017,Asturias,Mujer,6.14
2018,Asturias,Mujer,9.35
2019,Asturias,Mujer,7.89
2012,España,,12.78
2013,España,,11.88
2014,España,,11.35
2015,España,,10.58
2016,España,,10.57
2017,España,,9.64
2018,España,,9.4
2019,España,,9.23
2012,España,Hombre,16.25
2013,España,Hombre,14.43
2014,España,Hombre,13.94
2015,España,Hombre,13.03
2016,España,Hombre,13.32
2017,España,Hombre,12.42
2018,España,Hombre,11.9
2019,España,Hombre,11.71
2012,España,Mujer,9.4
2013,España,Mujer,9.42
2014,España,Mujer,8.84
2015,España,Mujer,8.22
2016,España,Mujer,7.91
2017,España,Mujer,6.97
2018,España,Mujer,6.99
2019,España,Mujer,6.83
