Year,Región,Value
2010,Asturias,334.335348204039
2011,Asturias,340.987095321984
2012,Asturias,340.43594480548
2013,Asturias,331.628933095627
2014,Asturias,328.254558564029
2015,Asturias,335.522579050863
2016,Asturias,344.933660298685
2017,Asturias,342.345718688134
2018,Asturias,346.614697244267
2019,Asturias,339.104681291598
2020,Asturias,340.734292247605
2010,España,221.87
2011,España,225.59
2012,España,228.56
2013,España,229.94
2014,España,228.76
2015,España,230.97
2016,España,234.0
2017,España,234.4
2018,España,232.25
2019,España,231.11
2020,España,229.2
