Year,Región,Value
2010,Asturias,53.86303452904
2011,Asturias,48.1614142737996
2012,Asturias,52.5284650150496
2013,Asturias,55.1287801883897
2014,Asturias,57.4830336944874
2015,Asturias,58.8226817494056
2016,Asturias,60.680069265777
2017,Asturias,61.9195347714728
2018,Asturias,63.6173761623158
2019,Asturias,65.3548585286667
2020,Asturias,67.5407544584598
2010,España,47.89
2011,España,48.36
2012,España,48.99
2013,España,50.05
2014,España,51.29
2015,España,52.29
2016,España,53.29
2017,España,54.39
2018,España,55.52
2019,España,56.62
2020,España,58.28
