Year,Región,Value
2010,Asturias,5.94863539233574
2011,Asturias,6.31106279042059
2012,Asturias,7.00504400628581
2013,Asturias,7.38449916192545
2014,Asturias,7.72472913442076
2015,Asturias,7.8968225376468
2016,Asturias,8.1312839790501
2017,Asturias,8.23258312378847
2018,Asturias,8.52079573079764
2019,Asturias,8.70547522374642
2020,Asturias,8.99293003678118
2010,España,5.96
2011,España,6.21
2012,España,6.67
2013,España,6.98
2014,España,7.17
2015,España,7.46
2016,España,7.68
2017,España,7.86
2018,España,8.05
2019,España,8.2
2020,España,8.39
