Year,Región,Value
2010,Asturias,12.2
2011,Asturias,12.28
2012,Asturias,12.55
2013,Asturias,12.57
2014,Asturias,12.98
2015,Asturias,13.32
2016,Asturias,13.54
2017,Asturias,13.84
2018,Asturias,14.21
2019,Asturias,14.34
2020,Asturias,14.62
2021,Asturias,15.03
2022,Asturias,15.26
2010,España,13.76
2011,España,13.88
2012,España,14.02
2013,España,14.34
2014,España,14.73
2015,España,15.03
2016,España,15.3
2017,España,15.54
2018,España,15.78
2019,España,15.91
2020,España,16.21
2021,España,16.45
2022,España,16.5
