Year,Región,Sexo,Value
2012,Asturias,,81.33
2015,Asturias,,79.43
2018,Asturias,,78.39
2012,Asturias,Hombre,81.38
2015,Asturias,Hombre,80.3
2018,Asturias,Hombre,78.74
2012,Asturias,Mujer,81.29
2015,Asturias,Mujer,78.51
2018,Asturias,Mujer,78.05
2012,España,,76.39
2015,España,,77.8
2018,España,,75.3
2022,España,,72.69
2012,España,Hombre,77.86
2015,España,Hombre,79.59
2018,España,Hombre,75.43
2022,España,Hombre,73.46
2012,España,Mujer,74.89
2015,España,Mujer,76.02
2018,España,Mujer,75.17
2022,España,Mujer,71.92
