Year,Región,Value
2010,Asturias,9.12825777817032
2011,Asturias,10.0842368213255
2012,Asturias,9.50754756773416
2013,Asturias,9.92695194121401
2014,Asturias,8.78309978579559
2015,Asturias,8.87632012266241
2016,Asturias,8.3750604599288
2017,Asturias,8.98345860919454
2018,Asturias,8.58286799199992
2019,Asturias,8.74014677931636
2020,Asturias,11.083742854568
2010,España,11.16
2011,España,11.18
2012,España,11.17
2013,España,11.37
2014,España,10.11
2015,España,9.91
2016,España,9.39
2017,España,9.86
2018,España,10.48
2019,España,10.65
2020,España,11.0
