Year,Región,Sexo,Edad,Value
2014,Asturias,,De 25 a 34 años,51.7
2015,Asturias,,De 25 a 34 años,51.56
2016,Asturias,,De 25 a 34 años,52.68
2017,Asturias,,De 25 a 34 años,53.3
2018,Asturias,,De 25 a 34 años,53.57
2019,Asturias,,De 25 a 34 años,51.92
2020,Asturias,,De 25 a 34 años,54.01
2021,Asturias,,De 25 a 34 años,55.32
2022,Asturias,,De 25 a 34 años,54.42
2023,Asturias,,De 25 a 34 años,55.24
2024,Asturias,,De 25 a 34 años,57.99
2025,Asturias,,De 25 a 34 años,55.03
2014,Asturias,Hombre,,45.18
2015,Asturias,Hombre,,44.01
2016,Asturias,Hombre,,42.83
2017,Asturias,Hombre,,50.9
2018,Asturias,Hombre,,53.24
2019,Asturias,Hombre,,47.64
2020,Asturias,Hombre,,48.66
2021,Asturias,Hombre,,47.68
2022,Asturias,Hombre,,46.55
2023,Asturias,Hombre,,46.91
2024,Asturias,Hombre,,51.18
2025,Asturias,Hombre,,51.94
2014,Asturias,Mujer,,58.33
2015,Asturias,Mujer,,59.22
2016,Asturias,Mujer,,62.67
2017,Asturias,Mujer,,55.74
2018,Asturias,Mujer,,53.91
2019,Asturias,Mujer,,56.28
2020,Asturias,Mujer,,59.46
2021,Asturias,Mujer,,63.06
2022,Asturias,Mujer,,62.36
2023,Asturias,Mujer,,63.64
2024,Asturias,Mujer,,64.89
2025,Asturias,Mujer,,58.2
