Year,Región,Value
2010,Asturias,0.80189317994637
2011,Asturias,0.641457159498594
2012,Asturias,0.730000718265565
2013,Asturias,0.85860746600261
2014,Asturias,0.880190250292054
2015,Asturias,1.05319342934366
2016,Asturias,0.852374420919789
2017,Asturias,0.635132697962276
2018,Asturias,0.766172120891809
2019,Asturias,0.774477084828902
2020,Asturias,0.698282969675067
2010,España,0.88
2011,España,0.87
2012,España,0.86
2013,España,0.89
2014,España,0.89
2015,España,0.88
2016,España,0.87
2017,España,0.86
2018,España,0.86
2019,España,0.86
