Year,Región,Value
2010,Asturias,41.43
2011,Asturias,41.45
2012,Asturias,41.75
2013,Asturias,41.91
2014,Asturias,41.99
2015,Asturias,41.91
2016,Asturias,42.12
2017,Asturias,42.13
2018,Asturias,42.13
2019,Asturias,42.19
2020,Asturias,41.95
2021,Asturias,42.2
2022,Asturias,42.63
2023,Asturias,42.81
2010,España,35.18
2011,España,35.57
2012,España,35.88
2013,España,36.25
2014,España,36.6
2015,España,36.79
2016,España,37.1
2017,España,37.2
2018,España,37.47
2019,España,37.67
2020,España,37.65
2021,España,38.03
2022,España,38.43
2023,España,38.57
