Year,Región,Sexo,Value
2013,Asturias,,58.56
2016,Asturias,,58.53
2020,Asturias,,64.18
2023,Asturias,,64.95
2013,Asturias,Hombre,49.96
2016,Asturias,Hombre,49.97
2020,Asturias,Hombre,59.68
2023,Asturias,Hombre,59.82
2013,Asturias,Mujer,69.87
2016,Asturias,Mujer,70.5
2020,Asturias,Mujer,71.36
2023,Asturias,Mujer,72.66
2013,España,,43.74
2016,España,,44.88
2020,España,,48.75
2023,España,,45.61
2013,España,Hombre,45.03
2016,España,Hombre,44.08
2020,España,Hombre,46.18
2023,España,Hombre,43.48
2013,España,Mujer,41.31
2016,España,Mujer,46.64
2020,España,Mujer,55.72
2023,España,Mujer,51.83
