Year,Región,Sexo,Disability_status,Value
2010,Asturias,,,14.1
2011,Asturias,,,14.2
2012,Asturias,,,14.2
2013,Asturias,,,14.4
2014,Asturias,,,14.3
2015,Asturias,,,14.9
2016,Asturias,,,15.0
2017,Asturias,,,15.2
2018,Asturias,,,15.6
2019,Asturias,,,16.3
2010,Asturias,Hombre,,15.5
2011,Asturias,Hombre,,15.7
2012,Asturias,Hombre,,15.8
2013,Asturias,Hombre,,16.1
2014,Asturias,Hombre,,15.9
2015,Asturias,Hombre,,16.5
2016,Asturias,Hombre,,16.7
2017,Asturias,Hombre,,17.1
2018,Asturias,Hombre,,17.3
2019,Asturias,Hombre,,17.6
2010,Asturias,Mujer,,12.4
2011,Asturias,Mujer,,12.3
2012,Asturias,Mujer,,12.3
2013,Asturias,Mujer,,12.6
2014,Asturias,Mujer,,12.5
2015,Asturias,Mujer,,13.1
2016,Asturias,Mujer,,13.0
2017,Asturias,Mujer,,13.2
2018,Asturias,Mujer,,13.7
2019,Asturias,Mujer,,14.8
2010,Asturias,,Persona con discapacidad,14.4
2011,Asturias,,Persona con discapacidad,13.1
2012,Asturias,,Persona con discapacidad,11.9
2013,Asturias,,Persona con discapacidad,13.1
2014,Asturias,,Persona con discapacidad,13.3
2015,Asturias,,Persona con discapacidad,13.5
2016,Asturias,,Persona con discapacidad,12.7
2017,Asturias,,Persona con discapacidad,13.1
2018,Asturias,,Persona con discapacidad,14.0
2010,Asturias,,Persona sin discapacidad,14.1
2011,Asturias,,Persona sin discapacidad,14.2
2012,Asturias,,Persona sin discapacidad,14.3
2013,Asturias,,Persona sin discapacidad,14.5
2014,Asturias,,Persona sin discapacidad,14.4
2015,Asturias,,Persona sin discapacidad,15.0
2016,Asturias,,Persona sin discapacidad,15.1
2017,Asturias,,Persona sin discapacidad,15.3
2018,Asturias,,Persona sin discapacidad,15.7
2010,España,,,14.5
2011,España,,,14.5
2012,España,,,14.6
2013,España,,,14.6
2014,España,,,14.8
2015,España,,,15.0
2016,España,,,14.9
2017,España,,,15.1
2018,España,,,15.5
2019,España,,,15.8
2010,España,Hombre,,15.6
2011,España,Hombre,,15.7
2012,España,Hombre,,15.8
2013,España,Hombre,,15.9
2014,España,Hombre,,15.8
2015,España,Hombre,,16.0
2016,España,Hombre,,15.9
2017,España,Hombre,,16.1
2018,España,Hombre,,16.5
2019,España,Hombre,,16.6
2010,España,Mujer,,13.2
2011,España,Mujer,,13.1
2012,España,Mujer,,13.1
2013,España,Mujer,,13.2
2014,España,Mujer,,13.6
2015,España,Mujer,,13.8
2016,España,Mujer,,13.6
2017,España,Mujer,,13.9
2018,España,Mujer,,14.4
2019,España,Mujer,,14.9
2010,España,,Persona con discapacidad,13.1
2011,España,,Persona con discapacidad,13.2
2012,España,,Persona con discapacidad,12.8
2013,España,,Persona con discapacidad,12.6
2014,España,,Persona con discapacidad,12.3
2015,España,,Persona con discapacidad,13.0
2016,España,,Persona con discapacidad,12.7
2017,España,,Persona con discapacidad,12.9
2018,España,,Persona con discapacidad,13.1
2019,España,,Persona con discapacidad,13.7
2010,España,,Persona sin discapacidad,14.6
2011,España,,Persona sin discapacidad,14.6
2012,España,,Persona sin discapacidad,14.6
2013,España,,Persona sin discapacidad,14.7
2014,España,,Persona sin discapacidad,14.9
2015,España,,Persona sin discapacidad,15.1
2016,España,,Persona sin discapacidad,14.9
2017,España,,Persona sin discapacidad,15.2
2018,España,,Persona sin discapacidad,15.6
2019,España,,Persona sin discapacidad,15.9
