Year,Región,Sexo,Value
2010,Asturias,,15.92
2011,Asturias,,17.84
2012,Asturias,,21.83
2013,Asturias,,24.13
2014,Asturias,,21.13
2015,Asturias,,19.11
2016,Asturias,,17.62
2017,Asturias,,13.71
2018,Asturias,,13.61
2019,Asturias,,14.19
2020,Asturias,,14.12
2021,Asturias,,12.53
2010,Asturias,Hombre,15.15
2011,Asturias,Hombre,18.31
2012,Asturias,Hombre,21.89
2013,Asturias,Hombre,23.93
2014,Asturias,Hombre,20.14
2015,Asturias,Hombre,19.59
2016,Asturias,Hombre,18.83
2017,Asturias,Hombre,13.51
2018,Asturias,Hombre,12.37
2019,Asturias,Hombre,13.31
2020,Asturias,Hombre,13.86
2021,Asturias,Hombre,11.4
2010,Asturias,Mujer,16.81
2011,Asturias,Mujer,17.29
2012,Asturias,Mujer,21.75
2013,Asturias,Mujer,24.37
2014,Asturias,Mujer,22.21
2015,Asturias,Mujer,18.6
2016,Asturias,Mujer,16.32
2017,Asturias,Mujer,13.93
2018,Asturias,Mujer,14.92
2019,Asturias,Mujer,15.13
2020,Asturias,Mujer,14.4
2021,Asturias,Mujer,13.74
2010,España,,19.86
2011,España,,21.39
2012,España,,24.79
2013,España,,26.09
2014,España,,24.44
2015,España,,22.06
2016,España,,19.63
2017,España,,17.22
2018,España,,15.25
2019,España,,14.1
2020,España,,15.53
2021,España,,14.78
2010,España,Hombre,19.57
2011,España,Hombre,21.04
2012,España,Hombre,24.58
2013,España,Hombre,25.6
2014,España,Hombre,23.6
2015,España,Hombre,20.77
2016,España,Hombre,18.12
2017,España,Hombre,15.66
2018,España,Hombre,13.72
2019,España,Hombre,12.45
2020,España,Hombre,13.87
2021,España,Hombre,13.05
2010,España,Mujer,20.22
2011,España,Mujer,21.81
2012,España,Mujer,25.03
2013,España,Mujer,26.67
2014,España,Mujer,25.43
2015,España,Mujer,23.55
2016,España,Mujer,21.38
2017,España,Mujer,19.03
2018,España,Mujer,17.02
2019,España,Mujer,15.99
2020,España,Mujer,17.43
2021,España,Mujer,16.71
