Year,Región,Sexo,Value
2010,Asturias,,59.57
2011,Asturias,,58.58
2012,Asturias,,56.66
2013,Asturias,,55.3
2014,Asturias,,57.35
2015,Asturias,,58.18
2016,Asturias,,60.39
2017,Asturias,,62.67
2018,Asturias,,63.31
2019,Asturias,,62.87
2020,Asturias,,62.75
2021,Asturias,,65.2
2022,Asturias,,64.42
2023,Asturias,,65.86
2010,Asturias,Hombre,65.5
2011,Asturias,Hombre,63.18
2012,Asturias,Hombre,61.48
2013,Asturias,Hombre,59.34
2014,Asturias,Hombre,60.94
2015,Asturias,Hombre,60.41
2016,Asturias,Hombre,62.56
2017,Asturias,Hombre,66.02
2018,Asturias,Hombre,67.14
2019,Asturias,Hombre,66.2
2020,Asturias,Hombre,65.61
2021,Asturias,Hombre,69.33
2022,Asturias,Hombre,68.53
2023,Asturias,Hombre,68.26
2010,Asturias,Mujer,53.78
2011,Asturias,Mujer,54.1
2012,Asturias,Mujer,51.96
2013,Asturias,Mujer,51.38
2014,Asturias,Mujer,53.82
2015,Asturias,Mujer,55.99
2016,Asturias,Mujer,58.27
2017,Asturias,Mujer,59.4
2018,Asturias,Mujer,59.57
2019,Asturias,Mujer,59.62
2020,Asturias,Mujer,59.96
2021,Asturias,Mujer,61.17
2022,Asturias,Mujer,60.41
2023,Asturias,Mujer,63.52
