Year,Región,Value
2010,Asturias,11.72
2011,Asturias,9.08
2012,Asturias,9.52
2013,Asturias,7.96
2014,Asturias,7.12
2015,Asturias,4.43
2016,Asturias,4.29
2017,Asturias,6.62
2018,Asturias,7.57
2019,Asturias,6.58
2020,Asturias,5.65
2021,Asturias,8.15
2022,Asturias,8.11
2023,Asturias,4.74
2024,Asturias,5.98
2025,Asturias,7.41
2015,España,11.21
2016,España,11.46
2017,España,11.85
2018,España,12.14
2019,España,11.85
2020,España,11.4
2021,España,10.78
2022,España,11.19
2023,España,10.35
2024,España,9.83
2025,España,9.52
