Year,Región,Value
2016,Asturias,19.347913377968
2017,Asturias,21.8825033763677
2018,Asturias,19.4658433184403
2019,Asturias,20.995899176404
2020,Asturias,14.8405678642262
2021,Asturias,16.8608420879436
2016,Asturias,14.3518853705506
2017,Asturias,15.5415858781906
2018,Asturias,13.8485801490346
2019,Asturias,15.3419359455864
2020,Asturias,9.73913047759918
2021,Asturias,12.3716633115174
2016,España,26.63
2017,España,27.86
2018,España,27.02
2019,España,26.43
2020,España,12.65
2016,España,12.78
2017,España,13.62
2018,España,13.2
2019,España,12.61
2020,España,3.12
