Year,Región,Value
2010,Asturias,156.55
2011,Asturias,145.83
2012,Asturias,64.08
2013,Asturias,74.56
2014,Asturias,75.14
2015,Asturias,67.66
2016,Asturias,54.41
2017,Asturias,66.76
2018,Asturias,69.27
2019,Asturias,96.15
2020,Asturias,86.91
2021,Asturias,177.25
2010,España,4994.44
2011,España,4642.07
2012,España,4004.13
2013,España,2799.03
2014,España,2975.23
2015,España,3089.97
2016,España,3127.38
2017,España,3654.89
2018,España,3752.89
2019,España,4133.64
2020,España,4538.09
2021,España,6608.68
