Year,Region,Value
2012,Asturias,33.6
2013,Asturias,39.6
2014,Asturias,41.1
2015,Asturias,40.14
2016,Asturias,41.77
2017,Asturias,41.97
2018,Asturias,42.07
2019,Asturias,41.29
2020,Asturias,42.92
2021,Asturias,41.42
2022,Asturias,40.18
2023,Asturias,41.57
2024,Asturias,41.42
2012,España,30.93
2013,España,35.31
2014,España,35.33
2015,España,35.69
2016,España,36.94
2017,España,36.7
2018,España,36.45
2019,España,36.41
2020,España,38.46
2021,España,36.84
2022,España,36.2
2023,España,36.66
2024,España,36.01
