Year,Region,Value
2010,Asturias,554.28
2011,Asturias,526.78
2012,Asturias,480.03
2013,Asturias,473.34
2014,Asturias,476.4
2015,Asturias,497.88
2016,Asturias,509.99
2017,Asturias,500.81
2018,Asturias,477.22
2019,Asturias,485.05
2020,Asturias,480.02
2021,Asturias,518.56
2022,Asturias,519.4
2023,Asturias,500.05
2010,España,511.33
2011,España,485.83
2012,España,468.96
2013,España,454.81
2014,España,448.74
2015,España,456.14
2016,España,463.99
2017,España,473.4
2018,España,475.71
2019,España,472.32
2020,España,463.16
2021,España,482.66
2022,España,484.56
2023,España,464.25
