Year,Region,Value
2010,Asturias,11.42
2011,Asturias,12.28
2012,Asturias,11.23
2013,Asturias,11.5
2014,Asturias,12.16
2015,Asturias,12.21
2016,Asturias,10.51
2017,Asturias,11.38
2018,Asturias,10.48
2019,Asturias,10.04
2020,Asturias,9.87
2021,Asturias,9.67
2022,Asturias,11.18
2023,Asturias,9.16
2024,Asturias,8.6
2010,España,13.4
2011,España,13.9
2012,España,13.7
2013,España,11.7
2014,España,11.6
2015,España,13.4
2016,España,11.4
2017,España,12.6
2018,España,11.8
2019,España,11.9
2020,España,10.7
2021,España,10.4
2022,España,11.4
2023,España,10.3
2024,España,9.9
