Year,Region,Value
2010,Asturias,1.09615560121097
2011,Asturias,1.08542563533948
2012,Asturias,1.10892044973671
2013,Asturias,1.11769090334671
2014,Asturias,1.12688918923777
2015,Asturias,1.14632292189667
2016,Asturias,1.15046926977768
2017,Asturias,1.18705046058397
2018,Asturias,1.18793101294478
2019,Asturias,1.19994970358142
2020,Asturias,1.24404672148253
2021,Asturias,1.24890378288017
2010,España,1.28
2011,España,1.3
2012,España,1.29
2013,España,1.3
2014,España,1.29
2015,España,1.3
2016,España,1.3
2017,España,1.3
2018,España,1.3
2019,España,1.32
2020,España,1.33
2021,España,1.34
