Year,Region,Value
2010,Asturias,84.78
2011,Asturias,87.2
2012,Asturias,88.99
2013,Asturias,91.55
2014,Asturias,91.2
2015,Asturias,91.61
2016,Asturias,93.12
2017,Asturias,93.66
2018,Asturias,95.04
2019,Asturias,95.98
2020,Asturias,98.15
2021,Asturias,100.0
2022,Asturias,110.99
2023,Asturias,123.94
2010,España,84.23
2011,España,85.9
2012,España,87.88
2013,España,90.42
2014,España,90.1
2015,España,91.18
2016,España,92.46
2017,España,93.63
2018,España,95.13
2019,España,96.09
2020,España,98.4
2021,España,100.0
2022,España,111.89
2023,España,124.89
