Year,Region,Sex,Value
2015,Asturias,,93.62
2016,Asturias,,94.49
2017,Asturias,,95.6
2018,Asturias,,96.5
2019,Asturias,,99.56
2020,Asturias,,97.11
2021,Asturias,,95.38
2022,Asturias,,96.75
2023,Asturias,,97.41
2015,Asturias,Hombre,96.65
2016,Asturias,Hombre,95.5
2017,Asturias,Hombre,93.11
2018,Asturias,Hombre,94.86
2019,Asturias,Hombre,99.16
2020,Asturias,Hombre,97.64
2021,Asturias,Hombre,95.19
2022,Asturias,Hombre,95.61
2023,Asturias,Hombre,97.25
2015,Asturias,Mujer,90.76
2016,Asturias,Mujer,93.46
2017,Asturias,Mujer,97.72
2018,Asturias,Mujer,98.3
2019,Asturias,Mujer,100.0
2020,Asturias,Mujer,96.52
2021,Asturias,Mujer,95.62
2022,Asturias,Mujer,97.94
2023,Asturias,Mujer,97.6
2015,España,,95.4
2016,España,,95.09
2017,España,,96.01
2018,España,,96.07
2019,España,,96.18
2020,España,,96.26
2021,España,,96.5
2022,España,,96.77
2023,España,,96.77
2015,España,Hombre,94.38
2016,España,Hombre,94.05
2017,España,Hombre,95.22
2018,España,Hombre,95.14
2019,España,Hombre,95.32
2020,España,Hombre,95.39
2021,España,Hombre,95.38
2022,España,Hombre,96.23
2023,España,Hombre,95.99
2015,España,Mujer,96.49
2016,España,Mujer,96.19
2017,España,Mujer,96.87
2018,España,Mujer,97.05
2019,España,Mujer,97.09
2020,España,Mujer,97.16
2021,España,Mujer,97.71
2022,España,Mujer,97.33
2023,España,Mujer,97.59
