Year,Region,Sex,Value
2015,Asturias,,72.31
2016,Asturias,,73.2
2017,Asturias,,73.21
2018,Asturias,,81.28
2019,Asturias,,82.43
2020,Asturias,,85.12
2021,Asturias,,81.32
2022,Asturias,,76.67
2015,Asturias,Hombre,69.92
2016,Asturias,Hombre,73.44
2017,Asturias,Hombre,72.0
2018,Asturias,Hombre,76.21
2019,Asturias,Hombre,76.22
2020,Asturias,Hombre,81.61
2021,Asturias,Hombre,78.44
2022,Asturias,Hombre,77.13
2015,Asturias,Mujer,74.96
2016,Asturias,Mujer,72.93
2017,Asturias,Mujer,74.5
2018,Asturias,Mujer,86.54
2019,Asturias,Mujer,89.28
2020,Asturias,Mujer,89.39
2021,Asturias,Mujer,84.73
2022,Asturias,Mujer,76.13
