Year,Region,Value
2010,Asturias,0.994730428943501
2011,Asturias,1.0791785473353
2012,Asturias,1.05927596139965
2013,Asturias,1.12970916543011
2014,Asturias,1.02590412775098
2015,Asturias,1.01772667862522
2016,Asturias,1.09225297721845
2017,Asturias,1.02411893388001
2018,Asturias,1.00599920133449
2019,Asturias,1.13106945225894
2020,Asturias,1.1137649245829
2021,Asturias,1.15352498658435
2010,España,1.11
2011,España,1.11
2012,España,1.1
2013,España,1.09
2014,España,1.08
2015,España,1.08
2016,España,1.08
2017,España,1.07
2018,España,1.1
2019,España,1.12
2020,España,1.12
