Year,Region,Disability_status,Value
2014,Asturias,,21.251070036114
2015,Asturias,,19.2077463858676
2016,Asturias,,17.7678984397345
2017,Asturias,,13.8653248371277
2018,Asturias,,13.8011349734644
2014,Asturias,Persona con discapacidad,32.5643603580075
2015,Asturias,Persona con discapacidad,18.5678946660015
2016,Asturias,Persona con discapacidad,19.179082358693
2017,Asturias,Persona con discapacidad,19.1542309778557
2018,Asturias,Persona con discapacidad,19.6977009835144
2014,Asturias,Persona sin discapacidad,20.875798579297
2015,Asturias,Persona sin discapacidad,19.2298554320507
2016,Asturias,Persona sin discapacidad,17.7041938630309
2017,Asturias,Persona sin discapacidad,13.6392032652488
2018,Asturias,Persona sin discapacidad,13.5638752719757
2014,España,,24.6
2015,España,,22.2
2016,España,,19.7
2017,España,,17.3
2018,España,,15.4
2019,España,,14.2
2014,España,Persona con discapacidad,32.7
2015,España,Persona con discapacidad,31.0
2016,España,Persona con discapacidad,28.6
2017,España,Persona con discapacidad,26.2
2018,España,Persona con discapacidad,25.2
2019,España,Persona con discapacidad,23.9
2014,España,Persona sin discapacidad,24.3
2015,España,Persona sin discapacidad,21.9
2016,España,Persona sin discapacidad,19.5
2017,España,Persona sin discapacidad,17.1
2018,España,Persona sin discapacidad,15.1
2019,España,Persona sin discapacidad,13.9
