Year,Region,Value
2010,Asturias,-17.53
2011,Asturias,-16.78
2012,Asturias,-19.11
2013,Asturias,-19.13
2014,Asturias,-15.84
2015,Asturias,-16.58
2016,Asturias,-16.78
2017,Asturias,-17.22
2018,Asturias,-17.89
2019,Asturias,-15.92
2020,Asturias,-16.23
2021,Asturias,-17.66
2022,Asturias,-16.53
2023,Asturias,-13.39
2024,Asturias,-15.48
2025,Asturias,-16.93
2015,España,-17.35
2016,España,-16.51
2017,España,-16.91
2018,España,-17.2
2019,España,-16.93
2020,España,-16.26
2021,España,-16.04
2022,España,-15.21
2023,España,-14.59
2024,España,-14.8
2025,España,-14.63
