Year,Region,Value
2010,Asturias,-20.7
2011,Asturias,-13.62
2012,Asturias,-7.89
2013,Asturias,-12.3
2014,Asturias,-10.52
2015,Asturias,8.78
2016,Asturias,-12.46
2017,Asturias,-6.08
2018,Asturias,-13.13
2019,Asturias,-30.72
2020,Asturias,-41.79
2021,Asturias,-26.07
2022,Asturias,-25.88
2010,España,31.03
2011,España,32.1
2012,España,29.31
2013,España,17.12
2014,España,19.18
2015,España,25.43
2016,España,21.68
2017,España,26.68
2018,España,25.49
2019,España,18.61
2020,España,-3.18
2021,España,5.85
2022,España,12.01
