Value,en,Disaggregation combinations using this value,Number of indicators
Andalucía,Andalucía,2,2
Aragón,Aragón,2,2
Asturias,Asturias,1,1
Canarias,Canarias,2,2
Cantabria,Cantabria,2,2
Castilla - La Mancha,Castilla - La Mancha,2,2
Castilla y León,Castilla y León,2,2
Cataluña,Cataluña,2,2
Comunidad de Madrid,Comunidad de Madrid,2,2
Comunidad Foral de Navarra,Comunidad Foral de Navarra,2,2
Comunidad Valenciana,Comunidad Valenciana,2,2
España,España,2,2
Extremadura,Extremadura,2,2
Galicia,Galicia,2,2
Illes Balears / Islas Baleares,Illes Balears / Islas Baleares,2,2
La Rioja,La Rioja,2,2
País Vasco,País Vasco,2,2
Principado de Asturias,Principado de Asturias,1,1
